Symbol,Date,Close,Open,Bid,Ask,Last,Volume,AvgVolume,VolumeFirstMinute
FATBP,2020-08-31 16:40:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:41:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:42:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:43:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:44:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:45:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:46:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:47:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:48:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:49:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:50:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:51:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:52:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:53:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:54:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:55:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:56:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:57:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:58:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:59:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:00:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:01:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:02:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:03:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:04:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:05:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:06:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:07:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:08:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:09:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:10:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:11:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:12:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:13:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:14:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:15:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:16:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:17:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:18:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:19:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:20:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:21:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:22:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:23:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:24:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:25:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 17:26:00,15.28,15.3,15.52,15.52,15.52,1,0.22,
FATBP,2020-08-31 17:27:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:28:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:29:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:30:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:31:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:32:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:33:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:34:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:35:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:36:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:37:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:38:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:39:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:40:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:41:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:42:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:43:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:44:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:45:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:46:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:47:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:48:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:49:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:50:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:51:00,15.28,15.3,15.52,15.52,15.52,,0.22,
FATBP,2020-08-31 17:52:00,15.28,15.3,15.48,15.48,15.48,1,0.22,
FATBP,2020-08-31 17:53:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 17:54:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 17:55:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 17:56:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 17:57:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 17:58:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 17:59:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:00:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:01:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:02:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:03:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:04:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:05:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:06:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:07:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:08:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:09:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:10:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:11:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:12:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:13:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:14:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:15:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:16:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:17:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:18:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:19:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:20:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:21:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:22:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:23:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:24:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:25:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:26:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:27:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:28:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:29:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:30:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:31:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:32:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:33:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:34:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:35:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:36:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:37:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:38:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:39:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:40:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:41:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:42:00,15.28,15.3,15.48,15.48,15.48,,0.22,
FATBP,2020-08-31 18:43:00,15.28,15.3,15.4,15.4,15.4,1,0.22,
FATBP,2020-08-31 18:44:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:45:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:46:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:47:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:48:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:49:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:50:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:51:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:52:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:53:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:54:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:55:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:56:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:57:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:58:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 18:59:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:00:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:01:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:02:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:03:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:04:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:05:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:06:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:07:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:08:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:09:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:10:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:11:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:12:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:13:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:14:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:15:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:16:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:17:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:18:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:19:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:20:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:21:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:22:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:23:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:24:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:25:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:26:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:27:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:28:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:29:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:30:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:31:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:32:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:33:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:34:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:35:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:36:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:37:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:38:00,15.28,15.3,15.4,15.4,15.4,,0.22,
FATBP,2020-08-31 19:39:00,15.28,15.3,15.15,15.15,15.15,10,0.22,
FATBP,2020-08-31 19:40:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:41:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:42:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:43:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:44:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:45:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:46:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:47:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:48:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:49:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:50:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:51:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:52:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:53:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:54:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:55:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:56:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:57:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:58:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 19:59:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:00:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:01:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:02:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:03:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:04:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:05:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:06:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:07:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:08:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:09:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:10:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:11:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:12:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:13:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:14:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:15:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:16:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:17:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:18:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:19:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:20:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:21:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:22:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:23:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:24:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:25:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:26:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:27:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:28:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:29:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:30:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:31:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:32:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:33:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:34:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:35:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:36:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:37:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:38:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:39:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:40:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:41:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:42:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:43:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:44:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:45:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:46:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:47:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:48:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:49:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:50:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:51:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:52:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:53:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:54:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:55:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:56:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:57:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:58:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 20:59:00,15.28,15.3,15.15,15.15,15.15,,0.22,
FATBP,2020-08-31 15:33:00,15.28,15.3,15.3,15.3,15.3,1,0.22,
FATBP,2020-08-31 15:34:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:35:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:36:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:37:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:38:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:39:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:40:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:41:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:42:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:43:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:44:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:45:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:46:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:47:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:48:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:49:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:50:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:51:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:52:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:53:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:54:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:55:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:56:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:57:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:58:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 15:59:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:00:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:01:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:02:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:03:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:04:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:05:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:06:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:07:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:08:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:09:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:10:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:11:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:12:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:13:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:14:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:15:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:16:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:17:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:18:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:19:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:20:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:21:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:22:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:23:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:24:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:25:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:26:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:27:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:28:00,15.28,15.3,15.3,15.3,15.3,,0.22,
FATBP,2020-08-31 16:29:00,15.28,15.3,15.3,15.3,15.3,,0.22,
